Country,Prison_Pop_Rate_WPBwebsite
United States of America,639
El Salvador,566
Turkmenistan,552
Thailand,549
Palau,522
Rwanda,511
Cuba,510
Maldives,499
Northern Mariana Islands (USA),482
Virgin Islands (United Kingdom),447
Bahamas,442
Grenada,429
Panama,412
Guam (USA),411
Virgin Islands (USA),394
St. Kitts and Nevis,393
Costa Rica,374
St. Vincent and the Grenadines,369
Anguilla (United Kingdom),367
Cayman Islands (United Kingdom),365
Brazil,357
Seychelles,356
Belize,356
American Samoa (USA),345
Belarus,343
Bermuda (United Kingdom),342
Russian Federation,341
Uruguay,337
Turkey,335
Nicaragua,332
Puerto Rico (USA),313
Brunei Darussalam,307
Antigua and Barbuda,302
Barbados,300
Cape Verde (Cabo Verde),296
Namibia,295
Iran,294
Trinidad and Tobago,292
Peru,290
Swaziland/eSwatini,278
Fiji,274
Guyana,264
St. Lucia,263
Dominica,262
South Africa,259
Taiwan,258
Georgia,251
Dominican Republic,243
Paraguay,241
Gabon,241
Honduras,237
Morocco,237
Curaçao (Netherlands),236
Israel,234
Bahrain,234
Macau (China),232
Argentina,230
Greenland (Denmark),225
Ecuador,224
Cook Islands (New Zealand),224
Cambodia,220
French Polynesia (France),219
Chile,217
Mauritius,217
Lithuania,216
Malaysia,212
Azerbaijan,208
Botswana,208
Lebanon,205
Samoa,204
Philippines,200
Colombia,199
Jordan,198
Saudi Arabia,197
Slovakia,196
Singapore,195
Tunisia,195
Martinique (France),189
New Zealand,188
Moldova (Republic of),186
Czech Republic,186
Suriname,183
Estonia,181
Poland,181
French Guiana/Guyane (France),180
Venezuela,178
Latvia,175
Montenegro,172
Myanmar (formerly Burma),171
Hungary,169
Guadeloupe (France),167
Tonga,166
Aruba (Netherlands),165
Bolivia,164
Kyrgyzstan,161
Australia,160
Albania,159
Serbia,158
Mexico,158
Kazakhstan,157
New Caledonia (France),154
Algeria,153
Sint Maarten (Netherlands),153
Mayotte (France),151
Ukraine,148
Guatemala,146
Malta,145
Bhutan,145
Guernsey (United Kingdom),142
Nauru,140
Libya,139
Gibraltar (United Kingdom),139
Jamaica,138
United Kingdom: Scotland,137
United Kingdom: England & Wales,132
Laos,130
Jersey (United Kingdom),129
Vietnam,128
Zimbabwe,127
Ethiopia,127
"Micronesia, Federated States of",127
Iraq,126
Isle of Man (United Kingdom),125
Uganda,124
Cameroon,124
Zambia,123
Spain,122
China,121
Tajikistan,121
Kuwait,117
Sao Tome e Principe,116
Egypt,116
Kiribati,113
Reunion (France),111
Romania,110
Mongolia,110
Tuvalu,110
Bulgaria,109
Portugal,109
Greece,108
Canada,107
North Macedonia,105
Republic of (South) Korea,105
Sri Lanka,105
United Arab Emirates,104
Madagascar,102
Kosovo/Kosova,100
Haiti,97
Austria,95
Belgium,95
Angola,93
Lesotho,92
Hong Kong (China),90
Italy,90
France,87
Afghanistan,87
Cyprus (Republic of),86
Indonesia,85
Croatia,84
Nepal,84
Burundi,84
Bosnia and Herzegovina: Federation,83
Luxembourg,83
Cote d'Ivoire,82
Kenya,81
Switzerland,80
United Kingdom: Northern Ireland,78
Solomon Islands,77
"Ireland, Republic of",74
Armenia,74
Vanuatu,72
Malawi,71
Benin,70
Germany,69
Uzbekistan,68
Sweden,68
Denmark,68
Senegal,68
Togo,67
Marshall Islands,66
Djibouti,66
Bosnia and Herzegovina: Republika Srpska,64
Mozambique,63
Netherlands,63
Equatorial Guinea,63
Papua New Guinea,62
Sierra Leone,60
Syria,60
Tanzania,59
Chad,59
Andorra,55
Liberia,54
Finland,53
Mauritania,53
Slovenia,53
Yemen,53
Qatar,53
Timor-Leste (formerly East Timor),52
Bangladesh,52
Ghana,52
Sudan,52
South Sudan,50
Norway,49
Niger,47
Oman,45
Japan,39
Pakistan,38
Burkina Faso,37
India,35
Iceland,33
Mali,33
Nigeria,31
Gambia,31
Democratic Republic of Congo,29
Guinea (Republic of),28
Comoros,27
Congo (Republic of),27
Liechtenstein,23
Monaco,21
Faeroe Islands (Denmark),21
Central African Republic,16
Guinea Bissau,10
San Marino,6